"species","scientificName","total_records","gbif_records","inat_records","first_year","last_year"
"Acridotheres tristis","Acridotheres tristis (Linnaeus, 1766)",1365,1365,0,2018,2024
"Corvus splendens","Corvus splendens Vieillot, 1817",1157,1157,0,2018,2024
"Passer domesticus","Passer domesticus (Linnaeus, 1758)",1040,1040,0,2018,2024
"Pycnonotus cafer","Pycnonotus cafer (Linnaeus, 1766)",807,807,0,2018,2024
"Hirundo rustica","Hirundo rustica Linnaeus, 1758",538,538,0,2019,2024
"Corvus macrorhynchos","Corvus macrorhynchos Wagler, 1827",317,317,0,2018,2024
"Apus affinis","Apus affinis (J.E.Gray, 1830)",312,312,0,2019,2024
"Passer montanus","Passer montanus (Linnaeus, 1758)",289,289,0,2019,2024
"Dicrurus macrocercus","Dicrurus macrocercus Vieillot, 1817",286,286,0,2018,2024
"Lanius schach","Lanius schach Linnaeus, 1758",271,271,0,2019,2024
"Pycnonotus leucogenys","Pycnonotus leucogenys (J.E.Gray, 1835)",265,265,0,2018,2024
"Motacilla alba","Motacilla alba Linnaeus, 1758",248,248,0,2019,2024
"Parus cinereus","Parus cinereus Vieillot, 1818",227,227,0,2019,2025
"Phylloscopus humei","Phylloscopus humei (W.E.Brooks, 1878)",198,198,0,2019,2024
"Columba livia","Columba livia J.F.Gmelin, 1789",190,190,0,2018,2024
"Phoenicurus fuliginosus","Phoenicurus fuliginosus Vigors, 1831",188,188,0,2019,2024
"Motacilla cinerea","Motacilla cinerea Tunstall, 1771",164,164,0,2019,2024
"Psittacula krameri","Psittacula krameri (Scopoli, 1769)",157,157,0,2020,2024
"Trochalopteron lineatum","Trochalopteron lineatum (Vigors, 1831)",157,157,0,2018,2025
"Myophonus caeruleus","Myophonus caeruleus (Scopoli, 1786)",146,146,0,2018,2024
"Turdoides caudata","Argya caudata (Dumont, 1823)",127,127,0,2020,2024
"Chaimarrornis leucocephalus","Phoenicurus leucocephalus Vigors, 1831",115,115,0,2018,2024
"Passer cinnamomeus","Passer cinnamomeus (Temminck, 1836)",107,107,0,2019,2025
"Periparus ater","Periparus ater (Linnaeus, 1758)",106,106,0,2019,2024
"Milvus migrans","Milvus migrans (Boddaert, 1783)",103,103,0,2019,2024
"Periparus rufonuchalis","Periparus rufonuchalis (Blyth, 1849)",101,101,0,2019,2024
"Zosterops palpebrosus","Zosterops palpebrosus (Temminck, 1824)",100,100,0,2019,2024
"Emberiza cia","Emberiza cia Linnaeus, 1767",99,99,0,2018,2025
"Phylloscopus xanthoschistos","Phylloscopus xanthoschistos (J.E.Gray & G.R.Gray, 1847)",99,99,0,2020,2024
"Saxicola ferreus","Saxicola ferreus J.E.Gray & G.R.Gray, 1847",98,98,0,2019,2024
"Copsychus saularis","Copsychus saularis (Linnaeus, 1758)",97,97,0,2020,2024
"Saxicola maurus","Saxicola maurus (Pallas, 1773)",96,96,0,2019,2024
"Parus monticolus","Parus monticolus Vigors, 1831",93,93,0,2019,2025
"Chloris spinoides","Chloris spinoides (Vigors, 1831)",90,90,0,2019,2025
"Cinclus pallasii","Cinclus pallasii Temminck, 1820",89,89,0,2019,2024
"Urocissa flavirostris","Urocissa flavirostris (Blyth, 1846)",89,89,0,2019,2025
"Psilopogon virens","Psilopogon virens (Boddaert, 1783)",86,86,0,2019,2024
"Alcedo atthis","Alcedo atthis (Linnaeus, 1758)",83,83,0,2020,2025
"Ardeola grayii","Ardeola grayii (Sykes, 1832)",83,83,0,2019,2024
"Phylloscopus occipitalis","Phylloscopus occipitalis (Blyth, 1845)",82,82,0,2019,2025
"Halcyon smyrnensis","Halcyon smyrnensis (Linnaeus, 1758)",80,80,0,2019,2024
"Hypsipetes leucocephalus","Hypsipetes leucocephalus (Gmelin, 1789)",78,78,0,2019,2024
"Pycnonotus leucogenys",NA,76,0,76,2010,2025
"Dicrurus leucophaeus","Dicrurus leucophaeus Vieillot, 1817",74,74,0,2018,2024
"Acridotheres tristis",NA,73,0,73,2012,2025
"Horornis fortipes","Horornis fortipes Hodgson, 1845",73,73,0,2019,2024
"Spilopelia chinensis","Spilopelia chinensis (Scopoli, 1786)",73,73,0,2019,2024
"Certhia himalayana","Certhia himalayana Vigors, 1832",72,72,0,2018,2024
"Pericrocotus ethologus","Pericrocotus ethologus Bangs & J.C.Phillips, 1914",71,71,0,2019,2024
"Trochalopteron variegatum","Trochalopteron variegatum (Vigors, 1831)",70,70,0,2019,2024
"Acridotheres ginginianus","Acridotheres ginginianus (Latham, 1790)",69,69,0,2020,2024
"Dendrocopos himalayensis","Dendrocopos himalayensis (Jardine & Selby, 1831)",68,68,0,2019,2024
"Sturnia pagodarum","Sturnia pagodarum (Gmelin, 1789)",67,67,0,2020,2024
