"species","scientificName","priority_score","priority_level","total_records","n_grid_cells","rarity_score","range_score","trend_score"
"Carpodacus rubicilloides",NA,100,"Critical Priority",2,2,100,100,100
"Phalaropus lobatus",NA,100,"Critical Priority",2,2,100,100,100
"Athene noctua","Athene noctua (Scopoli, 1769)",100,"Critical Priority",1,2,100,100,100
"Athene noctua",NA,100,"Critical Priority",1,2,100,100,100
"Bubo bengalensis",NA,100,"Critical Priority",1,1,100,100,100
"Calidris acuminata",NA,100,"Critical Priority",1,1,100,100,100
"Cyanoderma pyrrhops",NA,100,"Critical Priority",1,1,100,100,100
"Geopelia cuneata",NA,100,"Critical Priority",1,1,100,100,100
"Gymnoris xanthocollis",NA,100,"Critical Priority",1,1,100,100,100
"Parus major","Parus major Linnaeus, 1758",100,"Critical Priority",1,1,100,100,100
"Passer hispaniolensis",NA,100,"Critical Priority",1,1,100,100,100
"Tetraogallus tibetanus","Tetraogallus tibetanus Gould, 1854",100,"Critical Priority",1,1,100,100,100
"Vanellus vanellus",NA,100,"Critical Priority",1,1,100,100,100
"Tetrax tetrax","Tetrax tetrax (Linnaeus, 1758)",82,"Critical Priority",5,2,100,100,40
"Argya striata",NA,82,"Critical Priority",4,1,100,100,40
"Ortygornis pondicerianus","Ortygornis pondicerianus (J.F.Gmelin, 1789)",82,"Critical Priority",4,2,100,100,40
"Argya caudata",NA,82,"Critical Priority",3,1,100,100,40
"Calidris minuta",NA,82,"Critical Priority",3,2,100,100,40
"Delichon urbicum","Delichon urbicum (Linnaeus, 1758)",82,"Critical Priority",3,2,100,100,40
"Luscinia phaenicuroides",NA,82,"Critical Priority",3,1,100,100,40
"Pomatorhinus erythrogenys","Erythrogenys erythrogenys (Vigors, 1831)",82,"Critical Priority",3,1,100,100,40
"Psittacula cyanocephala","Psittacula cyanocephala (Linnaeus, 1766)",82,"Critical Priority",3,2,100,100,40
"Zapornia pusilla",NA,82,"Critical Priority",3,2,100,100,40
"Acrocephalus agricola","Acrocephalus agricola (Jerdon, 1845)",82,"Critical Priority",2,2,100,100,40
"Amaurornis phoenicurus","Amaurornis phoenicurus (Pennant, 1769)",82,"Critical Priority",2,2,100,100,40
"Anarhynchus alexandrinus",NA,82,"Critical Priority",2,2,100,100,40
"Anthropoides virgo","Anthropoides virgo (Linnaeus, 1758)",82,"Critical Priority",2,2,100,100,40
"Anthus campestris","Anthus campestris (Linnaeus, 1758)",82,"Critical Priority",2,1,100,100,40
"Anthus cervinus","Anthus cervinus (Pallas, 1811)",82,"Critical Priority",2,1,100,100,40
"Anthus sylvanus","Anthus sylvanus (Hodgson, 1845)",82,"Critical Priority",2,2,100,100,40
"Asio otus",NA,82,"Critical Priority",2,2,100,100,40
"Buteo hemilasius",NA,82,"Critical Priority",2,2,100,100,40
"Cacomantis passerinus","Cacomantis passerinus (Vahl, 1797)",82,"Critical Priority",2,2,100,100,40
"Carpodacus puniceus","Carpodacus puniceus (Blyth, 1845)",82,"Critical Priority",2,1,100,100,40
"Circus cyaneus",NA,82,"Critical Priority",2,2,100,100,40
"Cuculus poliocephalus","Cuculus poliocephalus Latham, 1790",82,"Critical Priority",2,1,100,100,40
"Cyanistes cyanus",NA,82,"Critical Priority",2,1,100,100,40
"Cyornis rubeculoides","Cyornis rubeculoides (Vigors, 1831)",82,"Critical Priority",2,2,100,100,40
"Dendrocopos leucopterus",NA,82,"Critical Priority",2,2,100,100,40
"Dendrocopos macei","Dendrocopos macei (Vieillot, 1818)",82,"Critical Priority",2,2,100,100,40
"Emberiza melanocephala","Emberiza melanocephala Scopoli, 1769",82,"Critical Priority",2,2,100,100,40
"Emberiza pusilla","Emberiza pusilla Pallas, 1776",82,"Critical Priority",2,2,100,100,40
"Ficedula parva","Ficedula parva (Bechstein, 1792)",82,"Critical Priority",2,2,100,100,40
"Gracupica contra","Gracupica contra (Linnaeus, 1758)",82,"Critical Priority",2,1,100,100,40
"Grus virgo",NA,82,"Critical Priority",2,1,100,100,40
"Gyps fulvus","Gyps fulvus (Hablizl, 1783)",82,"Critical Priority",2,2,100,100,40
"Hierococcyx varius",NA,82,"Critical Priority",2,2,100,100,40
"Hirundapus caudacutus","Hirundapus caudacutus (Latham, 1801)",82,"Critical Priority",2,1,100,100,40
"Hydrophasianus chirurgus",NA,82,"Critical Priority",2,2,100,100,40
"Lanius tephronotus",NA,82,"Critical Priority",2,2,100,100,40
"Loxia curvirostra","Loxia curvirostra Linnaeus, 1758",82,"Critical Priority",2,2,100,100,40
"Merops philippinus","Merops philippinus Linnaeus, 1767",82,"Critical Priority",2,2,100,100,40
"Monticola saxatilis","Monticola saxatilis (Linnaeus, 1766)",82,"Critical Priority",2,2,100,100,40
"Oenanthe albonigra","Oenanthe albonigra (Hume, 1872)",82,"Critical Priority",2,2,100,100,40
"Perdix hodgsoniae",NA,82,"Critical Priority",2,1,100,100,40
"Pluvialis fulva",NA,82,"Critical Priority",2,1,100,100,40
"Prinia inornata","Prinia inornata Sykes, 1832",82,"Critical Priority",2,2,100,100,40
"Prinia socialis","Prinia socialis Sykes, 1832",82,"Critical Priority",2,2,100,100,40
"Pteruthius aeralatus","Pteruthius aeralatus Blyth, 1855",82,"Critical Priority",2,2,100,100,40
"Recurvirostra avosetta",NA,82,"Critical Priority",2,1,100,100,40
"Riparia chinensis","Riparia chinensis (J.E.Gray, 1830)",82,"Critical Priority",2,2,100,100,40
"Rostratula benghalensis",NA,82,"Critical Priority",2,1,100,100,40
"Tringa erythropus",NA,82,"Critical Priority",2,1,100,100,40
"Urocissa erythroryncha",NA,82,"Critical Priority",2,2,100,100,40
"Xenus cinereus","Xenus cinereus (Güldenstädt, 1775)",82,"Critical Priority",2,2,100,100,40
"Acrocephalus arundinaceus",NA,82,"Critical Priority",1,1,100,100,40
"Aegypius monachus",NA,82,"Critical Priority",1,1,100,100,40
"Amaurornis akool","Zapornia akool (Sykes, 1832)",82,"Critical Priority",1,1,100,100,40
"Anarhynchus atrifrons",NA,82,"Critical Priority",1,1,100,100,40
"Anser indicus","Anser indicus (Latham, 1790)",82,"Critical Priority",1,1,100,100,40
"Anthus hodgsoni",NA,82,"Critical Priority",1,1,100,100,40
"Apus leuconyx","Apus leuconyx (Blyth, 1845)",82,"Critical Priority",1,1,100,100,40
"Astur gentilis",NA,82,"Critical Priority",1,1,100,100,40
"Aythya nyroca","Aythya nyroca (Güldenstädt, 1770)",82,"Critical Priority",1,2,100,100,40
"Aythya nyroca",NA,82,"Critical Priority",1,2,100,100,40
"Calandrella acutirostris",NA,82,"Critical Priority",1,1,100,100,40
"Calandrella brachydactyla","Calandrella brachydactyla (Leisler, 1814)",82,"Critical Priority",1,1,100,100,40
"Calidris ferruginea",NA,82,"Critical Priority",1,1,100,100,40
"Calidris minuta","Calidris minuta (Leisler, 1812)",82,"Critical Priority",1,2,100,100,40
"Calidris pugnax",NA,82,"Critical Priority",1,1,100,100,40
"Carpodacus thura","Carpodacus thura Bonaparte & Schlegel, 1850",82,"Critical Priority",1,1,100,100,40
"Cecropis rufula",NA,82,"Critical Priority",1,1,100,100,40
"Centropus sinensis","Centropus sinensis (Stephens, 1815)",82,"Critical Priority",1,1,100,100,40
"Cettia brunnifrons","Cettia brunnifrons (Hodgson, 1845)",82,"Critical Priority",1,1,100,100,40
"Cettia cetti","Cettia cetti (Temminck, 1820)",82,"Critical Priority",1,1,100,100,40
"Chelidorhynx hypoxantha","Chelidorhynx hypoxantha (Blyth, 1843)",82,"Critical Priority",1,1,100,100,40
"Chloris chloris","Chloris chloris (Linnaeus, 1758)",82,"Critical Priority",1,1,100,100,40
"Ciconia nigra",NA,82,"Critical Priority",1,1,100,100,40
"Circus cyaneus","Circus cyaneus (Linnaeus, 1766)",82,"Critical Priority",1,2,100,100,40
"Copsychus fulicatus",NA,82,"Critical Priority",1,1,100,100,40
"Coturnix coturnix","Coturnix coturnix (Linnaeus, 1758)",82,"Critical Priority",1,2,100,100,40
"Coturnix coturnix",NA,82,"Critical Priority",1,2,100,100,40
"Cygnus columbianus","Cygnus columbianus (Ord, 1815)",82,"Critical Priority",1,2,100,100,40
"Cygnus columbianus",NA,82,"Critical Priority",1,2,100,100,40
"Dendrocopos macei",NA,82,"Critical Priority",1,2,100,100,40
"Emberiza hortulana","Emberiza hortulana Linnaeus, 1758",82,"Critical Priority",1,1,100,100,40
"Emberiza melanocephala",NA,82,"Critical Priority",1,2,100,100,40
"Emberiza striolata","Emberiza striolata (M.H.K.Lichtenstein, 1823)",82,"Critical Priority",1,1,100,100,40
"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)",82,"Critical Priority",1,1,100,100,40
"Euodice malabarica","Euodice malabarica (Linnaeus, 1758)",82,"Critical Priority",1,1,100,100,40
"Falco cherrug",NA,82,"Critical Priority",1,1,100,100,40
"Falco chicquera","Falco chicquera Daudin, 1800",82,"Critical Priority",1,1,100,100,40
"Ficedula albicilla",NA,82,"Critical Priority",1,1,100,100,40
"Ficedula parva",NA,82,"Critical Priority",1,2,100,100,40
"Galerida cristata","Galerida cristata (Linnaeus, 1758)",82,"Critical Priority",1,2,100,100,40
"Galerida cristata",NA,82,"Critical Priority",1,2,100,100,40
"Gallinago solitaria","Gallinago solitaria Hodgson, 1831",82,"Critical Priority",1,2,100,100,40
"Gallinago solitaria",NA,82,"Critical Priority",1,2,100,100,40
