"species","scientificName","total_records","gbif_records","inat_records","first_year","last_year","rarity_score","n_grid_cells","lat_range","lon_range","range_score","trend","trend_score","priority_score","priority_level"
"Carpodacus rubicilloides",NA,2,0,2,2011,2019,100,2,0.0159829508000016,0.0476196378999987,100,-2,100,100,"Critical Priority"
"Phalaropus lobatus",NA,2,0,2,2017,2017,100,2,2.3194789968,0.143627911899998,100,-2,100,100,"Critical Priority"
"Athene noctua","Athene noctua (Scopoli, 1769)",1,1,0,2018,2018,100,2,1.0334505556,3.4425527778,100,-2,100,100,"Critical Priority"
"Athene noctua",NA,1,0,1,2019,2019,100,2,1.0334505556,3.4425527778,100,-2,100,100,"Critical Priority"
"Bubo bengalensis",NA,1,0,1,2018,2018,100,1,0,0,100,-1,100,100,"Critical Priority"
"Calidris acuminata",NA,1,0,1,2017,2017,100,1,0,0,100,-1,100,100,"Critical Priority"
"Cyanoderma pyrrhops",NA,1,0,1,2018,2018,100,1,0,0,100,-1,100,100,"Critical Priority"
"Geopelia cuneata",NA,1,0,1,2018,2018,100,1,0,0,100,-1,100,100,"Critical Priority"
"Gymnoris xanthocollis",NA,1,0,1,2018,2018,100,1,0,0,100,-1,100,100,"Critical Priority"
"Parus major","Parus major Linnaeus, 1758",1,1,0,2018,2018,100,1,0,0,100,-1,100,100,"Critical Priority"
"Passer hispaniolensis",NA,1,0,1,2017,2017,100,1,0,0,100,-1,100,100,"Critical Priority"
"Tetraogallus tibetanus","Tetraogallus tibetanus Gould, 1854",1,1,0,2019,2019,100,1,0,0,100,-1,100,100,"Critical Priority"
"Vanellus vanellus",NA,1,0,1,2017,2017,100,1,0,0,100,-1,100,100,"Critical Priority"
"Tetrax tetrax","Tetrax tetrax (Linnaeus, 1758)",5,5,0,2020,2024,100,2,0.113750000000003,0.223734999999991,100,5,40,82,"Critical Priority"
"Argya striata",NA,4,0,4,2019,2025,100,1,0,0,100,2,40,82,"Critical Priority"
"Ortygornis pondicerianus","Ortygornis pondicerianus (J.F.Gmelin, 1789)",4,4,0,2020,2024,100,2,0.963850000000001,0.220369999999988,100,4,40,82,"Critical Priority"
"Argya caudata",NA,3,0,3,2021,2025,100,1,0.0393067755999965,0.000835843399997316,100,3,40,82,"Critical Priority"
"Calidris minuta",NA,3,0,3,2021,2024,100,2,2.069267795,0.17165614679999,100,4,40,82,"Critical Priority"
"Delichon urbicum","Delichon urbicum (Linnaeus, 1758)",3,3,0,2022,2023,100,2,0.768770000000004,0.615389999999991,100,3,40,82,"Critical Priority"
"Luscinia phaenicuroides",NA,3,0,3,2022,2023,100,1,0.00521453089999824,0.00123193510000874,100,3,40,82,"Critical Priority"
"Pomatorhinus erythrogenys","Erythrogenys erythrogenys (Vigors, 1831)",3,3,0,2024,2024,100,1,0,0,100,3,40,82,"Critical Priority"
