"grid_lon","grid_lat","species_richness","total_records"
72,34.1,12,19
72,34.2,1,1
72,34.6,5,8
72,36.8,1,1
72.1,34.1,12,30
72.1,34.2,20,64
72.1,34.3,10,13
72.1,34.4,7,10
72.1,34.5,5,5
72.1,34.6,4,4
72.1,34.7,29,54
72.1,36,10,10
72.1,36.5,19,19
72.1,36.9,4,5
72.2,34.1,10,10
72.2,34.6,17,22
72.2,34.7,7,11
72.2,35.1,30,68
72.2,35.5,6,6
72.2,36.9,2,3
72.2,37,2,2
72.3,34.1,10,14
72.3,34.6,29,36
72.3,34.7,69,494
72.3,34.8,74,2279
72.3,34.9,4,4
72.3,35,14,14
72.3,35.6,14,14
72.3,36.3,37,67
72.3,37,14,24
72.4,34.2,2,4
72.4,34.5,8,9
72.4,34.6,15,15
72.4,34.7,41,138
72.4,34.8,67,3538
72.4,34.9,14,31
72.4,35,13,16
72.4,35.1,15,17
72.4,35.2,62,233
72.4,35.4,31,33
72.4,35.5,11,11
72.4,35.7,5,5
72.5,34,17,17
72.5,34.1,5,5
72.5,34.7,54,210
72.5,34.8,60,340
72.5,34.9,24,58
72.5,35,4,4
72.5,35.1,24,55
72.5,35.2,43,118
72.5,35.3,20,25
72.5,35.5,23,34
72.5,35.8,5,5
72.5,36.1,7,8
72.5,36.3,20,27
72.6,34,6,6
72.6,34.4,3,3
72.6,34.8,56,149
72.6,34.9,12,15
72.6,35.1,26,38
72.6,35.2,31,76
72.6,35.3,32,55
72.6,35.4,6,8
72.6,35.5,75,270
72.6,35.6,9,13
72.6,35.7,15,26
72.6,36.3,8,8
72.7,34,19,20
72.7,34.1,7,12
72.7,34.7,28,29
72.7,34.9,3,3
72.7,35.1,1,2
72.7,35.2,3,3
72.7,35.3,10,12
72.7,35.4,9,11
72.7,35.5,5,5
72.7,35.6,13,19
72.7,35.7,28,64
72.7,35.8,45,58
72.8,34.1,1,1
72.8,34.3,1,1
72.8,34.7,8,8
72.8,34.8,42,233
72.8,34.9,18,21
72.8,36.4,16,17
72.9,34,9,9
72.9,34.1,1,2
72.9,34.4,1,1
72.9,34.5,3,6
72.9,34.7,2,2
72.9,34.9,12,18
72.9,35,12,15
72.9,36.6,1,2
73,34.5,1,1
